Дата	N	Курс 100 EUR/UAH
2017-08-08	395	3041.8455
2017-08-09	396	3040.0443
2017-08-10	397	3017.7414
2017-08-11	398	3014.2286
2017-08-14	399	3023.1004
2017-08-15	400	3023.6516
2017-08-16	401	3006.262
2017-08-17	402	2994.5655
2017-08-18	403	2983.4847
2017-08-19	404	2992.5731
2017-08-21	405	2992.5731
2017-08-22	406	2992.371
2017-08-23	407	2995.9201
2017-08-28	408	3014.123
2017-08-29	409	3042.7546
2017-08-30	410	3065.0806
2017-08-31	411	3048.0581
2017-09-01	412	3038.3104
2017-09-04	413	3069.2074
2017-09-05	414	3084.1389
2017-09-06	415	3085.9619
2017-09-07	416	3099.9378
2017-09-08	417	3112.841
2017-09-11	418	3144.3995
2017-09-12	419	3120.2641
2017-09-13	420	3104.8423
2017-09-14	421	3124.0804
2017-09-15	422	3109.3556
2017-09-18	423	3137.2233
2017-09-19	424	3128.0675
2017-09-20	425	3127.8569
2017-09-21	426	3144.5894
2017-09-22	427	3123.5364
2017-09-25	428	3141.1454
2017-09-26	429	3122.9967
2017-09-27	430	3109.8185
2017-09-28	431	3108.175
2017-09-29	432	3123.6545
2017-10-02	433	3137.8572
2017-10-03	434	3130.3169
2017-10-04	435	3138.5438
2017-10-05	436	3159.9538
2017-10-06	437	3146.8189
2017-10-09	438	3130.4437
2017-10-10	439	3118.7621
2017-10-11	440	3136.372
2017-10-12	441	3138.8908
2017-10-13	442	3157.8052
2017-10-17	443	3134.1328
2017-10-18	444	3114.2921
2017-10-19	445	3104.728
2017-10-20	446	3136.0041
2017-10-23	447	3136.3674
2017-10-24	448	3120.1109
2017-10-25	449	3136.6534
2017-10-26	450	3154.8499
2017-10-27	451	3152.9325
2017-10-30	452	3118.9344
2017-10-31	453	3115.4288
2017-11-01	454	3126.2018
2017-11-02	455	3121.1202
2017-11-03	456	3136.159
2017-11-06	457	3143.0358
2017-11-07	458	3111.9553
2017-11-08	459	3092.9838
2017-11-09	460	3087.1409
2017-11-10	461	3088.7623
2017-11-13	462	3090.2597
2017-11-14	463	3087.4358
2017-11-15	464	3111.9989
2017-11-16	465	3135.495
2017-11-17	466	3116.5379
2017-11-20	467	3125.5673
2017-11-21	468	3119.2648
2017-11-22	469	3104.3573
2017-11-23	470	3130.8221
2017-11-24	471	3182.5434
2017-11-27	472	3196.5337
2017-11-28	473	3207.3516
2017-11-29	474	3194.5227
2017-11-30	475	3194.9375
2017-12-01	476	3217.6965
2017-12-04	477	3215.4059
2017-12-05	478	3229.0975
2017-12-06	479	3218.1672
2017-12-07	480	3203.4884
2017-12-08	481	3196.2881
2017-12-11	482	3183.1793
2017-12-12	483	3200.9295
2017-12-13	484	3197.6583
2017-12-14	485	3200.1126
2017-12-15	486	3246.7152
2017-12-18	487	3262.5955
2017-12-19	488	3287.6952
2017-12-20	489	3296.7613
2017-12-21	490	3300.1202
2017-12-22	491	3303.4353
2017-12-26	492	3313.0227
2017-12-27	493	3312.2695
2017-12-28	494	3324.47
2017-12-29	495	3349.5424
2017-12-30	496	3349.5424
2017-12-31	497	3349.5424
2018-01-01	498	3349.5424
2018-01-02	499	3349.5424
2018-01-03	500	3349.5424
2018-01-04	501	3353.2796
2018-01-05	502	3379.8126
2018-01-09	503	3397.091
2018-01-10	504	3365.2111
2018-01-11	505	3397.1913
2018-01-12	506	3418.3211
2018-01-15	507	3463.4916
2018-01-16	508	3507.2521
2018-01-17	509	3504.21
2018-01-18	510	3498.1281
2018-01-19	511	3520.9253
2018-01-22	512	3534.9322
2018-01-23	513	3534.1137
2018-01-24	514	3535.6522
2018-01-25	515	3565.4501
2018-01-26	516	3566.4229
2018-01-29	517	3550.3086
2018-01-30	518	3496.6361
2018-01-31	519	3478.9719
2018-02-01	520	3468.4639
2018-02-02	521	3472.2563
2018-02-05	522	3483.6614
2018-02-06	523	3451.1605
2018-02-07	524	3385.6502
2018-02-08	525	3346.0206
2018-02-09	526	3323.2353
2018-02-12	527	3320.8954
2018-02-13	528	3291.4342
2018-02-14	529	3292.8469
2018-02-15	530	3291.33
2018-02-16	531	3343.1024
2018-02-19	532	3364.1444
2018-02-20	533	3352.1795
2018-02-21	534	3340.8014
2018-02-22	535	3322.7674
2018-02-23	536	3323.3394
2018-02-26	537	3319.335
2018-02-27	538	3327.2144
2018-02-28	539	3314.8962
2018-03-01	540	3274.0257
2018-03-02	541	3245.9444
2018-03-03	542	3267.1005
2018-03-05	543	3267.1005
2018-03-06	544	3259.1496
2018-03-07	545	3270.1691
2018-03-12	546	3240.0861
2018-03-13	547	3189.2458
2018-03-14	548	3207.8685
2018-03-15	549	3217.6689
2018-03-16	550	3242.3082
2018-03-19	551	3241.7945
2018-03-20	552	3254.0127
2018-03-21	553	3228.7252
2018-03-22	554	3228.8805
2018-03-23	555	3233.3994
2018-03-26	556	3242.7359
2018-03-27	557	3264.6378
